review_id,date,brand,source,text,sentiment
EVVN-01560,2023-03-04,Tesla,YouTube,"Quá mệt mỏi sau chuyến đi tỉnh cuối tuần, ra đến trạm sạc cao tốc thì 3 trụ báo lỗi hỏng, trụ duy nhất còn lại thì bị xe xăng đỗ chiếm chỗ vô ý thức. Thất vọng hơn là trần kính toàn cảnh vào mùa hè Hà Nội nắng 40 độ hấp nhiệt nóng rát đỉnh đầu, bật điều hòa max vẫn toát mồ hôi. Nếu được chọn lại chắc chắn mình sẽ trung thành với xe xăng truyền thống.",negative
EVVN-01561,2023-03-04,Tesla,Review site,"Đã gắn bó từ những ngày đầu nhận xe, khả năng cách âm môi trường và gầm xe tốt hơn mong đợi rất nhiều, hơn nữa chi phí sạc điện mỗi tháng chưa tới 800 nghìn, tiết kiệm hơn 70% so với tiền xăng trước kia. Thực sự vượt ngoài mong đợi ban đầu của mình.",positive
EVVN-01562,2023-03-05,Hyundai,Forum,"Thất vọng toàn tập với chuyến đi vừa rồi, nhiều điểm trạm sạc ngoài trời không có mái che, trời mưa bão cắm sạc vừa ướt vừa bất an. Thất vọng hơn là độ hoàn thiện các khe hở thân vỏ không đều, gioăng cao su cửa cách âm kém nghe rõ tiếng gió rít khi lên 100km/h. Trải nghiệm chưa xứng đáng với kỳ vọng và số tiền bỏ ra. (Cập nhật ODO vạn km đợt 2023).",negative
EVVN-01563,2023-03-05,Hyundai,YouTube,"Gặp sự cố giữa đường mới thấy, trải nghiệm thực sự tệ khi chất liệu nhựa nội thất ọp ẹp, đi vào đường xấu phát ra tiếng kêu cọt kẹt rất khó chịu. Đáng nói nhất là khoang lái ít phím bấm vật lý đôi khi thao tác chưa thật sự quen tay. Mong hãng nghiêm túc lắng nghe phản ánh và sớm có phương án xử lý dứt điểm.",negative
EVVN-01564,2023-03-05,MG,YouTube,"Đổi từ sedan Nhật sang xe điện, màn hình giải trí sắc nét, cảm ứng mượt mà và hỗ trợ kết nối không dây rất tiện, kèm theo đó kinh tế nhất là sạc chậm qua đêm tại nhà với giá điện sinh hoạt, sáng ra pin đầy ắp sẵn sàng. Đi rồi mới thấy công nghệ xe điện tiện lợi và sướng hơn hẳn.",positive
EVVN-01565,2023-03-05,Tesla,YouTube,"Sau thời gian trải nghiệm Tesla: sạc pin ở nhà vào ban đêm rất tiện lợi và kinh tế, bù lại hạ tầng trạm sạc công cộng dịp lễ đông đúc phải chờ đợi khá sốt ruột. Tóm lại xe rất hợp đi phố hàng ngày, còn đi phượt xa thì cần tính toán kỹ thời gian.",neutral
EVVN-01566,2023-03-05,VinFast,Review site,"Bỏ ra số tiền không nhỏ mà nhận lại, nhiều điểm trạm sạc ngoài trời không có mái che, trời mưa bão cắm sạc vừa ướt vừa bất an. Thất vọng hơn là chất liệu nhựa nội thất ọp ẹp, đi vào đường xấu phát ra tiếng kêu cọt kẹt rất khó chịu. Không thể chấp nhận một sản phẩm giá tiền tỷ mà lỗi vặt nhiều như thế này.",negative
EVVN-01567,2023-03-06,Kia,Forum,"Sau thời gian trải nghiệm Kia: điểm cộng lớn nhất là khả năng tăng tốc mượt mà, không mùi khí thải và không gian cabin thoáng đãng, bù lại trần kính mùa hè khá nóng nếu không dán thêm phim cách nhiệt xịn và lắp rèm che. Xe có ưu nhược điểm riêng, ai chấp nhận được điểm trừ thì dùng rất ổn.",neutral
EVVN-01568,2023-03-07,VinFast,Forum,"Cảm nhận về chiếc VinFast: xe tăng tốc tức thì, vượt xe trên quốc lộ rất tự tin và an toàn. Hệ thống trạm sạc V-Green phủ khắp 63 tỉnh thành từ cao tốc tới huyện xã. Một trải nghiệm nâng cấp chất lượng sống cho cả gia đình.",positive
EVVN-01569,2023-03-07,Wuling,Facebook,"Sau gần 8 tháng sử dụng đi phố, xe mini nhỏ gọn luồn lách ngõ hẹp cực kỳ linh hoạt, hơn nữa tiền điện sạc tại nhà mỗi tháng chỉ tầm 200 đến 300 nghìn, rẻ ngang xe máy số. Đi lại quãng ngắn trong thành phố thì không có gì để chê.",positive
EVVN-01570,2023-03-07,VinFast,Facebook,"Ấn tượng nhất sau thời gian dài sử dụng là trọng tâm pin đặt dưới sàn giúp xe ôm cua cực kỳ đầm chắc, không bị vặn xoắn, và kinh tế nhất là sạc chậm qua đêm tại nhà với giá điện sinh hoạt, sáng ra pin đầy ắp sẵn sàng. Cực kỳ ưng ý và sẽ tiếp tục ủng hộ xu hướng di chuyển xanh.",positive
EVVN-01571,2023-03-07,MG,Facebook,"Sau thời gian trải nghiệm MG: ưu điểm là xe chạy cực kỳ êm ái, bốc ga nhanh và chi phí tiền điện hàng tháng rất rẻ, bù lại phần mềm thỉnh thoảng vẫn dính lỗi vặt linh tinh và cần khởi động lại. Tóm lại xe rất hợp đi phố hàng ngày, còn đi phượt xa thì cần tính toán kỹ thời gian.",neutral
EVVN-01572,2023-03-08,Hyundai,Facebook,"Nhiều lúc ức chế phát khóc, dọc đường miền núi trạm sạc quá thưa thớt, vừa đi vừa run sợ hết pin giữa đèo. Thất vọng hơn là quãng đường thực tế hao hụt gần 35% so với công bố khi chạy cao tốc kèm bật điều hòa gió lớn. Không thể chấp nhận một sản phẩm giá tiền tỷ mà lỗi vặt nhiều như thế này.",negative
EVVN-01573,2023-03-08,Hyundai,Dealer,"Cảm nhận về chiếc Hyundai: trọng tâm pin đặt dưới sàn giúp xe ôm cua cực kỳ đầm chắc, không bị vặn xoắn. Không gian cabin phẳng rộng rãi như phòng khách gia đình. Chấm điểm 9.5/10 cho độ êm ái và hiệu quả kinh tế.",positive
EVVN-01574,2023-03-08,VinFast,Facebook,"Sau thời gian trải nghiệm VinFast: ưu điểm là xe chạy cực kỳ êm ái, bốc ga nhanh và chi phí tiền điện hàng tháng rất rẻ, bù lại quãng đường chạy đường trường thực tế sẽ hụt bớt khoảng 20-30% nếu đạp thốc ga liên tục. Bác nào ở nhà đất có chỗ cắm sạc thì nên mua, còn ở chung cư thì nên tính toán thêm. (Đánh giá tháng 03/2023).",neutral
EVVN-01575,2023-03-08,Kia,Facebook,"Chia sẻ công tâm sau thời gian trải nghiệm, vận hành trong đô thị rất nhàn nhã, máy êm, chi phí nuôi xe tiết kiệm thấy rõ, nhưng trần kính mùa hè khá nóng nếu không dán thêm phim cách nhiệt xịn và lắp rèm che. Tùy vào nhu cầu sử dụng của mỗi gia đình mà cân nhắc cho phù hợp.",neutral
EVVN-01576,2023-03-08,Kia,Review site,"Dùng được vài tuần bắt đầu phát sinh nhiều vấn đề, trải nghiệm thực sự tệ khi chất liệu nhựa nội thất ọp ẹp, đi vào đường xấu phát ra tiếng kêu cọt kẹt rất khó chịu. Đáng nói nhất là hạ tầng trạm sạc độc quyền gần như chưa có tại các tỉnh. Trải nghiệm chưa xứng đáng với kỳ vọng và số tiền bỏ ra.",negative
EVVN-01577,2023-03-08,VinFast,Forum,"Chạy được gần 2 vạn km rồi mới dám lên bài, điểm cộng là khung gầm đầm chắc chuẩn xe Đức, ôm cua ở tốc độ cao rất vững vàng. Thêm vào đó, các bản cập nhật phần mềm từ xa OTA ngày càng hoàn thiện, xe đi mượt hơn hẳn. Chấm điểm 9.5/10 cho độ êm ái và hiệu quả kinh tế.",positive
EVVN-01578,2023-03-09,VinFast,Forum,"Sau chuyến về quê dịp lễ vừa qua, ra đến trạm sạc cao tốc thì 3 trụ báo lỗi hỏng, trụ duy nhất còn lại thì bị xe xăng đỗ chiếm chỗ vô ý thức. Thất vọng hơn là giảm xóc sau quá cứng, đi qua gờ giảm tốc người ngồi hàng hai nảy tưng tưng rất ê mông. Nếu được chọn lại chắc chắn mình sẽ trung thành với xe xăng truyền thống.",negative
EVVN-01579,2023-03-09,BYD,Forum,"Sau chuyến về quê dịp lễ vừa qua, ra đến trạm sạc cao tốc thì 3 trụ báo lỗi hỏng, trụ duy nhất còn lại thì bị xe xăng đỗ chiếm chỗ vô ý thức, chưa kể màn hình trung tâm thỉnh thoảng bị đơ đen sì khi đang chạy, camera lùi bị giật lag nghiêm trọng. Không thể chấp nhận một sản phẩm giá tiền tỷ mà lỗi vặt nhiều như thế này.",negative
EVVN-01580,2023-03-09,Tesla,Forum,"Nhà mình chạy được 1 vạn km, điểm cộng là khả năng bứt tốc dính ghế đầy phấn khích không hề có độ trễ. Bên cạnh đó, buổi trưa nằm nghỉ trong xe bật điều hòa thoải mái mà không sợ ngạt khí CO độc hại. Đi rồi mới thấy công nghệ xe điện tiện lợi và sướng hơn hẳn.",positive
EVVN-01581,2023-03-09,BYD,Facebook,"Cảm nhận về chiếc BYD: vận hành êm ái tuyệt đối, không rung giật và chấm dứt hẳn mùi xăng khó chịu. Thiết kế nội thất phong cách thể thao phá cách và trẻ trung. Đi rồi mới thấy công nghệ xe điện tiện lợi và sướng hơn hẳn.",positive
EVVN-01582,2023-03-09,Hyundai,Review site,Cảm nhận về chiếc Hyundai: khả năng cách âm môi trường và gầm xe tốt hơn mong đợi rất nhiều. Kiến trúc điện 800V hỗ trợ sạc siêu nhanh hàng đầu phân khúc. Thực sự vượt ngoài mong đợi ban đầu của mình.,positive
EVVN-01583,2023-03-09,VinFast,Forum,"Nhận xét thực tế sau chuyến đi dài, lợi thế hệ thống trạm sạc VinFast tại Việt Nam áp đảo hoàn toàn so với mọi đối thủ. Về cơ bản sạc pin ở nhà vào ban đêm rất tiện lợi và kinh tế, nhưng độ hoàn thiện dàn nhựa nội thất và các chi tiết cơ khí vẫn cần hãng trau chuốt thêm.",neutral
EVVN-01584,2023-03-09,BYD,Dealer,"Đổi từ sedan Nhật sang xe điện, điểm cộng là thiết kế nội thất phong cách thể thao phá cách và trẻ trung. Bên cạnh đó, màn hình giải trí sắc nét, cảm ứng mượt mà và hỗ trợ kết nối không dây rất tiện. Thực sự vượt ngoài mong đợi ban đầu của mình.",positive
EVVN-01585,2023-03-10,BYD,Forum,Bức xúc khi dùng BYD: cảm biến va chạm và radar hú còi loạn xạ dù đường hoàn toàn thông thoáng. Ngoài ra hãng chưa có trạm sạc riêng tại VN nên phải tìm trạm tư nhân bên thứ 3 khá bất tiện. Đang tính chuyện bán lỗ để quay về xe xăng cho đỡ đau đầu.,negative
EVVN-01586,2023-03-10,MG,Dealer,"Đối với chiếc MG, vận hành trong đô thị rất nhàn nhã, máy êm, chi phí nuôi xe tiết kiệm thấy rõ. Dẫu vậy, độ hoàn thiện dàn nhựa nội thất và các chi tiết cơ khí vẫn cần hãng trau chuốt thêm; nhìn chung xe lái hay và giá mềm nhưng hệ sinh thái trạm sạc còn cần nhiều thời gian để hoàn thiện.",neutral
EVVN-01587,2023-03-10,Hyundai,Review site,"Sau thời gian trải nghiệm Hyundai: sạc pin ở nhà vào ban đêm rất tiện lợi và kinh tế, bù lại trần kính mùa hè khá nóng nếu không dán thêm phim cách nhiệt xịn và lắp rèm che. Bác nào ở nhà đất có chỗ cắm sạc thì nên mua, còn ở chung cư thì nên tính toán thêm.",neutral
EVVN-01588,2023-03-10,BYD,Forum,Bức xúc khi dùng BYD: phần mềm liên tục báo lỗi ảo và cảnh báo pin ảo khiến người lái hoang mang. Ngoài ra hãng chưa có trạm sạc riêng tại VN nên phải tìm trạm tư nhân bên thứ 3 khá bất tiện. Nếu được chọn lại chắc chắn mình sẽ trung thành với xe xăng truyền thống.,negative
EVVN-01589,2023-03-11,Kia,Review site,"Đi phố mỗi ngày vào giờ cao điểm mới thấy, xe tăng tốc tức thì, vượt xe trên quốc lộ rất tự tin và an toàn, và kinh tế nhất là sạc chậm qua đêm tại nhà với giá điện sinh hoạt, sáng ra pin đầy ắp sẵn sàng. Ai còn phân vân thì nên lái thử một lần, đảm bảo không muốn quay lại xe xăng.",positive
EVVN-01590,2023-03-11,Tesla,Facebook,"Có cả điểm cộng lẫn điểm trừ, công nghệ đi trước thời đại nhưng việc sạc và bảo dưỡng xe tư nhân tại VN khá nan giải. Về cơ bản xe lái đầm chắc, khung gầm dày dặn và nhiều công nghệ an toàn hiện đại, nhưng quãng đường chạy đường trường thực tế sẽ hụt bớt khoảng 20-30% nếu đạp thốc ga liên tục.",neutral
EVVN-01591,2023-03-11,Tesla,Review site,"Nhà mình chạy được 1 vạn km, điểm cộng là Autopilot hỗ trợ tự lái thông minh và giữ làn mượt mà nhất thị trường. Bên cạnh đó, các bản cập nhật phần mềm từ xa OTA ngày càng hoàn thiện, xe đi mượt hơn hẳn. Ai còn phân vân thì nên lái thử một lần, đảm bảo không muốn quay lại xe xăng.",positive
EVVN-01592,2023-03-11,VinFast,YouTube,"Khen chê rõ ràng cho anh em tham khảo, cần thêm vài bản cập nhật OTA nữa để phần mềm đạt độ ổn định tuyệt đối. Về cơ bản sạc pin ở nhà vào ban đêm rất tiện lợi và kinh tế, nhưng hạ tầng trạm sạc công cộng dịp lễ đông đúc phải chờ đợi khá sốt ruột.",neutral
EVVN-01593,2023-03-11,BYD,Facebook,"Cần phản ánh nghiêm túc về tình trạng, ở chung cư không có trụ sạc AC, đi làm về mệt mỏi lại phải lang thang tìm trụ sạc nhanh rất bất tiện, chưa kể phần mềm liên tục báo lỗi ảo và cảnh báo pin ảo khiến người lái hoang mang. Trải nghiệm chưa xứng đáng với kỳ vọng và số tiền bỏ ra.",negative
EVVN-01594,2023-03-11,VinFast,Forum,"Chờ đợi mòn mỏi ở xưởng dịch vụ, ở chung cư không có trụ sạc AC, đi làm về mệt mỏi lại phải lang thang tìm trụ sạc nhanh rất bất tiện. Thất vọng hơn là khoang hành lý quá chật hẹp, không thể nhét vừa hai chiếc vali cỡ trung cho chuyến đi xa. Quá mệt mỏi vì suốt ngày phải lo nghĩ chuyện sạc pin và lỗi phần mềm.",negative
EVVN-01595,2023-03-11,MG,Dealer,"Đối với chiếc MG, xe lái đầm chắc, khung gầm dày dặn và nhiều công nghệ an toàn hiện đại. Dẫu vậy, phần mềm thỉnh thoảng vẫn dính lỗi vặt linh tinh và cần khởi động lại; nhìn chung lựa chọn kinh tế cho người mua xe điện lần đầu muốn trải nghiệm. Góc nhìn chân thực từ thành viên Dealer.",neutral
EVVN-01596,2023-03-11,Kia,YouTube,"Khen chê rõ ràng cho anh em tham khảo, vận hành trong đô thị rất nhàn nhã, máy êm, chi phí nuôi xe tiết kiệm thấy rõ, nhưng độ hoàn thiện dàn nhựa nội thất và các chi tiết cơ khí vẫn cần hãng trau chuốt thêm. Tùy vào nhu cầu sử dụng của mỗi gia đình mà cân nhắc cho phù hợp.",neutral
EVVN-01597,2023-03-11,VinFast,Forum,"Nhận xét thực tế sau chuyến đi dài, cần thêm vài bản cập nhật OTA nữa để phần mềm đạt độ ổn định tuyệt đối. Về cơ bản điểm cộng lớn nhất là khả năng tăng tốc mượt mà, không mùi khí thải và không gian cabin thoáng đãng, nhưng phần mềm thỉnh thoảng vẫn dính lỗi vặt linh tinh và cần khởi động lại. Bác nào đang chạy dòng này vào chia sẻ thêm kinh nghiệm nhé.",neutral
EVVN-01598,2023-03-12,VinFast,Review site,Cảm nhận về chiếc VinFast: khả năng cách âm môi trường và gầm xe tốt hơn mong đợi rất nhiều. Trợ lý ảo ViVi nhận diện giọng nói tiếng Việt ba miền cực kỳ mượt mà. Nói chung quyết định chuyển sang xe điện là hoàn toàn sáng suốt.,positive
EVVN-01599,2023-03-12,Kia,Review site,"Từ xe xăng đổi qua xe điện, điểm cộng là EV6 dáng crossover thể thao bắt mắt và khí động học. Thêm vào đó, các bản cập nhật phần mềm từ xa OTA ngày càng hoàn thiện, xe đi mượt hơn hẳn. Nói chung quyết định chuyển sang xe điện là hoàn toàn sáng suốt.",positive
EVVN-01600,2023-03-12,Hyundai,Review site,"Chia sẻ trải nghiệm không mấy vui vẻ sau 2 tháng, trải nghiệm thực sự tệ khi khoang hành lý quá chật hẹp, không thể nhét vừa hai chiếc vali cỡ trung cho chuyến đi xa. Đáng nói nhất là khoang lái ít phím bấm vật lý đôi khi thao tác chưa thật sự quen tay. Thực sự thất vọng, khuyên thật lòng anh em nên cân nhắc kỹ trước khi xuống tiền.",negative
