review_text,sentiment
Takes some getting used to the black cards. Once we did they are great. I left the throw away card in a cup of water and my kids loved it. Update: After playing about 30 games with them two cards have slightly torn. We play cards a lot and have never had any playing cards tear.,neutral
The item was received with a cracked lid and chip in the glass on the side of the jar.,negative
Not as advertised. Too much hype.,negative
It never got sent to the recipient,negative
Had to tap out my mount bigger plus bolts a little shorter than expected,neutral
OMG! I've made multiple recipes using this! and it has been amazing! I'm never going back to sugar again! it has made keto 10x better!,positive
If this battery is 3000mAh somebody must be using standards from an alternate universe. My reg. battery outlasted this one by far. Where it took 1 battery to trim all my hedges it now take both of these.,negative
"Horrible!!! These cords quit working after a month. They also messed up my iPhone battery. Also, what’s with the noodle picture now???",negative
My two year old has a new favorite backpack!! He wears it around the house roaring like a Dino. So glad it is plush bc he wrestles with his daddy wearing it bc that is what a Dino does :),positive
It's the worst purchase i have ever made. It tastes so much better at home in India. I feel they've made it really bland to sell here in America. It's also pretty old to be sold. Please don't put out your expectations too high if you're from India and have tasted this at home. Also overly expensive and I really regret wasting my money. I wish I had done something better,negative
I’ve only had it 3 months and it’s already not working,negative
The radio has no strength and barely draws in stations from 100 miles away.,neutral
"Interesting that you are directed to the internet for the instructions on how to unwrap the pillow, get air pumped into it, and how to shape it. It took me a little bit to do all of this, but I love the pillow. It allows me to sit up in bed, if I am watching TV or reading a book. When used horizontally, it helps to elevate my head when I have a head cold. Perfect solution, perfect pillow.",positive
"Simple interface, great price, does the job.",positive
"I have hard water and really have to scrub due to calcium and lime buildup. These get most of it but not all and fall apart to quickly to get a good scrub. I’m afraid I’ll scratch the porcelain with the handle. I’ll use until they are gone but am not sure I’d buy again. I love that they can be flushed and the handle just rinsed and put away. If the chemical cleaning agent were better for my needs, I’d never go back to a regular toilet bowl brush",neutral
I love the clothes pins. They seem durable. Problem is the package was open and I was short 6 pins and 1 was broken. : (,negative
"It's time I updated my review! I read Dr. Bosworth's book in November, December 2018. Started on her program January 6th, 2019. After ten and a half months it's amazing!!!!!! It's the second best book in my life! Both the author of the Bible and Dr. Boz have a heart for others and both authors save lives! As of tonight I've ordered 64 paper books and 5 Kindle. Watch Dr. Boz on YouTube n Facebook. This has helped me with health issues I've had sense I was a baby. At 74 that's saying a lot! My life is much, much better! Thanks!!!!",positive
Easy to put on look nice when it on when you outside,positive
"This product was of the lowest quality and would not apply. The eye shadows would not even make it onto the brush or apply to the eyelid, and the eyeliner would also not apply.",negative
Exactly what I was looking for! Painted my Etsy shops name on them and hung it for festivals from my tent! Works great! And easy to adjust the flags!!,positive
A cool looking watch. Nicely made but it is painted plastic. The band is metal.,neutral
"I gave the chair 3 Stars because of the comfort level. The chair is very low to the ground so if you're a person with knee problems, it might be difficult getting up. Also, the backrest is not comfortable on my neck and upper shoulders because it tilts my head forward when I lean back. There is also a hard pole in the back if the seat that can be uncomfortable as well. I have to use a cushion! The vibration (not massage) is okay and it does heat up.",neutral
"The boxes themselves were perfect for me, but they were shipped in flimsy packaging and many of them were bent and damaged. The ones that worked out looked very nice.",neutral
"4 out of 6 Kcups clogged the machine. Stay away from these with ""not for retail sale"" printed on top.",negative
"Fast shipping, good quality",positive
"Sadly these arrived the day after my son's 10th Birthday party so he was super bummed, but we will keep them and hopefully they can be used next year!",neutral
These eyelashes are great. I love that they come in different styles and are fairly easy to apply. Great product!,positive
Very poor quality! When I attempted to return them I was told “give them away.....the postage is too costly to return them!” I was offered 40% off my next order.....why would I order from them again!!!!,negative
Definitely not as blue as shown in the photo. Much closer to clear With a blueish tint to it. Still very nice and the shape is really pretty.,neutral
"After blowing up once I knew this was crap. The bottom does not keep air, has to be re-filled after at least 2 hours. Returning and finding something else. This is crap!",negative
"Worked for 4 months and then completely stopped working without any abuse at all. Total waste of money. I'll never buy this brand again, nor will I ever buy one from amazon again... especially now that I can't return it. I'll be buying another one, but this time I'll be going somewhere local where I can actually return something for more than 30 days...",negative
Thank you! Great anniversary gift :) arrived quickly,positive
Not even a day after opening one it was already in three pieces (two sides and inside) . Can't help me find my keys like that.,negative
I was very happy with the quality of this. Awesome looking and great quality. Great buy for their cost. I recommend this item.,positive
"I like the look but this was one size too small. So if you order, order up. I find a lot of clothing manufactured abroad (Asian in particular) to be too small. The large was more like a medium.",neutral
"Bike seems fine, but we are not able to try it out yet because, as delivered, the front tire inner tube was punctured and the bolt that secures the front fender was missing. I have not contacted Amazon yet about the issues, but I am hoping they will supply a tube and the bolt in the near future.",neutral
I've purchased three 12-packs so far now and I've found them to be a really good deal. They work without fail and their warm white light looks much nicer than the cold blue LED glow that many others have.,positive
When you start to sweat you can’t stay in this shaper long because you start to itch...,neutral
"The Pillow Case was cute but there was only one, I just thought I was getting two so was disappointed.",neutral
"This charger no longer is working. Tried it on multiple outlets w multiple different plugs. No dice, it doesn't show any power at all. it is less than 2 months old.",negative
"I am an older woman in my 70’s. Ordered this chair thinking I could use it while recuperating from a broken shoulder and hand. Unfortunately, this chair is so heavy that I can’t even remove it from the box. The weight should be included in the description. My problem is that neither Amazon nor Best Choice Products will help me with returning it. It is useless to me. So disappointed in Amazon. I buy a lot of merchandise from Amazon since I cannot get out to shop. If the sellers they use are unresponsive, they need to help their customers. I’ll think twice before ordering again.",negative
"I love the small size of it. The cards area is good, the other side, hmm, the coin pocket is toooo small for coins. You can put the coins in there, but you have to turn it upside to get it out. Sorry.",neutral
"This book is an absolute dream! The pictures are stunning and so beautifully created. I felt so inspired reading not only the recipes but the lovely stories in the pages of this book. It offers so much more than recipes and tips on foraging, it offers excitment, wonder and intrigue to those looking to be inspired by nature. To anyone concerned with the the tips on consuming raw ingredients, I would say do your own research! What works for someone may not work for others. Listen to your body! The author offers what works and is loved by her and her family. I have consumed many raw ingredients from nature and am perfectly fine. This book is a must!",positive
"I wanted to like this book, but about halfway through I started skimming. Nothing really happened...find something else to read.",negative
To be honest I haven’t used it as much as we thought we would but if you have a flat surface you plan to attach it to it would work fine ours isn’t that big of a flat surface which causes a little bit of a installation issue.,neutral
I do not recommend this product does not work,negative
"Did not stick to my phone properly, there was a space so I was unable to use the touchscreen. Removed and trashed it.",negative
"Was really looking forward to this bench. However it arrived with numerous holes in the box, all taped up, and missing pieces required to assemble",negative
Mechanics are a bit off and the thumb is a bit annoying.,neutral
Did not help curb hunger at all - waste of money.,negative
Super great quality and durability. Better than I expected honestly.,positive
You get what you pay for! Make sure after you remove the cap that you tighten the roller. Mine have popped off twice and spilled the entire contents.,neutral
"I love the flame on this torch. But I’ve had a few of them and always have issues. I take really good care of my torches and I’ve had trigger issues and flame ignite issues with these torches. The one I just bought lasted 3 tender little uses before the trigger stopped clicking. So I gotta spark my own flame for it. I just wish they’d be more durable, because the flame is great.",negative
I never received the product even after contacting the seller.,negative
When I first got this unit it ran smooth and now that it has been in use for a few months you have to hit it to get it to stop making so much racket. but it does do its job,neutral
Not as protective as other speck cases,negative
It does not hold charge as long as we'd like. It's a fair buy for the price.,neutral
"Good product, but only holds keyboard and not a mouse, unlike the last time I ordered this product a few years back.",neutral
it said that it was delivered two days ago but I did not receive anything!!!!,negative
Great product. My wife loves it. The seller shipped it fast and it arrived in 2 days. I would recommend it.,positive
"It was a mistake for giving a good review,only one week , it doesn't work, terrible!",negative
"Purchased for my shop to run Shopify for our checkout. Works great, and is compatible with our blue tooth credit card chip reader.",positive
Don't get me wrong I love the chair and all but the parts on the inside are made cheap as F it seems. I'm not even 200lbs yet without much weight put on it the left armrest metal just gave away and snapped. I'm currently trying to find someone to weld it back together...,neutral
"The product design is great and really dressed up the room compared to a traditional crate. However, the track that the retracting door operates came broken and we have not been able to fully remedy it. So it does not operate as designed but it still kinda works with some effort to open and close the door. Would be much more happy with the purchase if the track had not arrived broken.",neutral
Great book for someone who has lost a pet.,positive
"Really like this knife. Its pretty and sharp and the spring works great. You can tell the steel isnt the best quality, but its not bad either. Cuts well. It is a big knife and is heavy, just be aware.",positive
"Super simple to configure, just connect and obtain an ip by dhcp, log in, connect to a wifi router and obtain a bridged ip, not routed.",positive
very positive action easy to install,positive
"I tried Starbuck's brand, and because it got mixed reviews, I ordered this and Land O'Lakes brand. Well, I like the Starbuck's brand the best. I did a taste test drinking water in between. Starbuck's brand is darker, which means you can see more cocoa, and it has a nice blend of flavor. This is just buttery caramel, which as a personal preference is too sweet for me. I can't taste chocolate at all. Also, the Starbucks melts/blends much smoother. I put milk in the microwave for 90 seconds and then the mix in.",neutral
The ruler has correct measurement and it looks exactly like the picture. I can measure my body and boxes. It works well for that. Very helpful for daily life. Like it.,positive
Great for post cards,positive
This is like the 3rd time Amazon has done this to me. they dont replace something that is supposed to have been somehow damaged & never even delivered to me. this time I was not even notified.,negative
The old saying you get what you pay for certainly applies. I wore the shoes for about 2 weeks before the strap tore off.,negative
really enjoyed this hair. I would recommend this hair to everyone..,positive
Love these they are perfect for holding your badge or information at an event,positive
"This item was sent but never arrived. When I went to the seller's page, there was no option to contact them. Hopefully, they see my review and contact me, so that I can take this review down and receive another knife.",negative
The color is great but went through one wash before the fitted sheet started pilling. Next time going for more quality sheets.,neutral
"I bought 3 packs and all did not last more than a month. 2 of the 3 packs were stocking stuffers (total 4 cords) they're already in the trash. 2 cords keeps having pop ups - does not support device, so they'll flip the cord but need to constantly adjust it so they just threw it away. other 2 cords surprisingly my 16 month old grandson actually snapped (obviously not so strong/durable). I emailed the seller as they stated to contact them and they'll replace or refund at 100%, no questions asked etc..... 5 days later, still no response. I'll be surprised if my review will actually get approved to post",negative
Horrible pans for sticking. I have not been happy with these pans for the money I paid. Only thing I can say good is they are stackable. I love the handle that can be interchangeable.,negative
It wasn’t quite big enough and didn’t get as hot as I would have liked. The massage bit was fine.,neutral
Someone gave these to me as a gift and I put on my keyring. Surprised at how much I use so I bought for all of my kids. Item as described. Fast shipping. No problems.,positive
I don't really have to worry about getting wired earphones.,positive
Came fast which was great! Just as it was described very good overall.,neutral
"Their ok, not steady, not exactly necessary.",neutral
These don't work either does anyone know which ones do?,negative
It wasn't curly but it fit in think I have to try it on Its okay buy too expensive Next time get another one for expensive price,neutral
Poor instructions that came with the product. They had appeared to be copies of a copy. Some of the washers were not present. Thank goodness for YouTube. I am convinced these are a knock off of sorts. The hinge pin has started to vibrate loose. I will remove the lock and replace with the original latch. Great original design. Definitely not worth the price.,neutral
Extremely warm. My favorite cold weather hoodie.,positive
Feels great and I like the color.,positive
Perfect tiny sink for a tiny space. However the hose connections to the faucet leaks despite being tight.,neutral
"I have vestibular migraine for few years now. After I tried this product, My Brain for one month, I have less headaches now and also help me to reduce my dizziness and vertigo. I will continue to use this product.",positive
I'm a barber!! By far the best blades I have used so far.. everyone in our Barbershop used them now,positive
Fell apart almost immediately... not sturdy at all whatever adhesive they use? Was coming out from under the head where attached to the handle and they just came apart looked nice in the pics but extremely disappointing,negative
The tea is not test fresh,neutral
Nice decoration for box,positive
Super cute but fully functional I have a 5 year old doctor in the house and it's perfect for him!,positive
Very nice!! Hold up great!!!,positive
Keep getting an error saying that my apple device does not support this accessory. It will work for a few moments and then disconnect from my iPhone 8 Plus. Very disappointed!,negative
The bag is too soft and feels very plasticky and cheap,negative
"Love these shoes!! They fit a little roomy which I like, because though I don’t wear socks with them in the summer, my feet tend to swell a little in hot weather. They’re perfect!!",positive
Zero stars...very disappointed,negative
Does not work sadly bought in October and just tried now. So no return possible. I tried adding the power supply as suggested in one review and still did not work.,negative
The cables do exactly what I needed them to do which was to give me extra length. The work great and would definitely recommend.,positive
"I thought the goals would be much bigger. When I opened it, thought it was a joke. The goals were the size of 3 soccer balls. Disappointing for sure!",negative
Delivery as estimated,positive
Easy read but nothing outstanding.,neutral
"well we got his to help maintain the fur of two cats who live with us, however this gloves are too stiff and well maybe not that good for cats or maybe our cats are not fan of the gloves. maybe a dog will enjoy them. No single complain about the quality so is kind of disappointing because but is more because of the temper of our cats than the product itself. no other use could be found for them so well all things for these cats is a flip of a coin, some stuff they love and some other like this is not appreciated. So good luck with your own cats have in mind they are really complex beings.",neutral
The material is to thin feels like it will only make it thru 1 month. I order with side pockets. Was expecting both sides. It only had one side pocket and its on the right side. Dislike because I am a left handed.,negative
"This fits better than some of the other units. For me the large is required, although I am not a big man. There are no obstructions in the mask making it easy to put on.",positive
"Does not stay on teeth to whiten, dissolves in mouth.",negative
I have enjoyed this product and so glad to get it through Amazon.,positive
Omg! We love this machine. We hear a lot of unfavorable reviews but we will go with our own experiences and beliefs. It works!,positive
"I was shorted a screw and 1 panel doesn't close correctly. Now I have to jump through different hoops to get the parts. They told me that they don't have access to Amazon Orders because they aren't a retailer, just a wholesaler. The contact information on Amazon is the fax number. I wouldn't buy from this company.",negative
It grinds well however it spills upward and gets everywhere. Also have a hard time getting the cup out as it frequently gets stuck.,neutral
Pkg and peanut butter demaged pictures include,negative
Arrived in a box that was in bad shape and when I opened it the lid to the cream was cracked all around the circumference so it won’t close properly,negative
Review is solely based on installation. This is HORRIBLE. I have never owned a portable unit before and the instructions are horrible to follow. Panels are only designed for a certain length window and won’t customize to your window height. Ridiculous!,negative
glasses are absolutely bitching,positive
"Fast shipping and arrived within 1 day. I was pleasantly surprised at how compact the product was, but how powerful it is! the mic and sound quality are wonderful, it picks up my cats meowing in the background. It’s light weight, easy to travel with, reliable, and great quality sound and speakers. Perfect audio! Would definitely recommend for anyone who needs a hand held recording device.",positive
Gave to a smaller person,neutral
Not exactly what I was expecting. Packaging was not in the best condition. Lights are bright and lots of different combos. Very thin light rope and was long enough to go around my mirror.,neutral
Said it was never opened I got it and it was obvious that it had been and the pack only contained 4 out of the 5 cards I messaged the seller still no response,negative
I wear an 8 1/2 and purchased a size 9 they are a little snug but fit well.,positive
My new favorite lens!! Scary sharp. A little heavy and bulky but absolutely worth it - I reach for it during every session with clients and will be investing in the 35mm 1.4 very soon! Highly recommend.,positive
"Great size! Packaging was great and protected the wheel very well. It is a bit loud but usually that's exactly the point for such a large wheel... To bring attention to your booth. It is quite top heavy however and must be weighted or tied down. Ours almost fell on top of a toddler in a stroller when her brother spun the wheel with too much force. Do not think think everyone will be gentle with their spins. Also, the post that fits into the base rotates freely. Wish there was an easy way to secure it without a lot of modifications.",neutral
"Exactly matches the old gasket my old Eljer toilet had. Hardware is garbage though. Everything but the nuts were highly magnetic metal, very likely to rust and seize up. I combined this with another kit that had all brass hardware so that 20 years from now, someone won't have to grind off rusted bolts to replace the rubber gasket.",neutral
"Really liked this case until it started discoloring shortly after I got it. However, I will give it 5 stars on the protection. Unfortunately, I'm going to have to buy a new one because this one just looks gross now.",neutral
Amazing Electric Smoker Cookbook! This is a very useful book on how to make extraordinary and delicious food. It provide lots of recipes and step by step instruction that are easy to follow and understand. I really enjoyed reading this book and I will recommend this book to anyone interested!,positive
These were not good lights. Lights did not stand up,negative
"Howard Kaplan has outdone himself with his compelling work, ""The Spy's Gamble,"" which is engaging and thoroughly enjoyable. This is an excellent book!",positive
"Worked great for about 3 weeks, then the right speaker just stopped working during phone calls.",neutral
A must watch for the holidays,positive
bought two - put the first one in a baby monitor camera and it worked for a week and became corrupt. put the second one in and it worked for about a month - now it says it's locked . . . and it is not locked.,negative
This is by far the worst item that I have bought via Amazon. The charger does not work. It charge my Apple Watch but not the phone. I wish I kept the packaging of this product. I would’ve returned this if I could.,negative
"Very pleased with this glitter adhesive vinyl. I needed small sheets and an assortment of colors so this was perfect for my project. It cut perfectly with my Cricut Explore air 2 (custom settings, glitter vinyl). I did a test cut 1st to ensure my settings were correct. It cut and weeded like butter and was the perfect touch for my project. Very pleased with the product and assortment of colors.",positive
"It works for about 2 minutes, then quits. It's not what I expected.",neutral
"I just received this and I bought it based on the 76% of the reviewers that rated it 4 or better. The smell is not as bad as I was prepared for based on some reviews. It came packaged in bubble wrap and in a corrugated cardboard box within an Amazon cushioned bag. So, it was in fine shape. As to its efficacy, I'll use it religiously and hope for the best. I rated it a three overall since I don't know just yet if it will work.",neutral
not sure if they received them they moved befor they got there,neutral
Way overpriced for what it is. Dropped it once on carpet and it broke.,negative
After looking thoroughly at the reviews I thought I'd be purchasing a solid product. It only took 1 wash for a pair to develop holes and that's only after a wear or two. I take care of my laundry and I make sure to hang dry when necessary but these socks can't withstand the washer has forced me to remove a star. It's a good product but not something I'd buy again.,neutral
For me it works better than the name brand. I can see it in sunlight yet privacy still works.,positive
"Love this calendar, exactly as described!!!! Beautiful!!!",positive
Had on my bike for about 2500 miles and all of the teeth bent over,negative
Grandbaby loves them. Pefect for his size!,positive
"This case has an awkward beveled edge on the inside (phone face). It’s relatively deep, which keeps the screen safe, but seriously impedes the touch screen surface. Trying to close out windows can be difficult because of it, the edge keeps you from being able to tap precisely in the corners of the phone. (So every time there’s one of those silly ads with the minuscule X in the corner, I spend 5 mins just trying to close it.) Overall, it looks nice, is very light, and keeps the XR from sliding off every surface imaginable, a problem I’ve noticed with the bulky and rounded XR. It was easy to put on and the front cover goes over the screen nicely, except for noted beveled edge. I’ll continue to use it for now, but will likely look for something else without the deep front edges.",neutral
"1 week into using it, tore from seam up top",neutral
Cheap. Made like a toy. Static cling happening with the dustpan. Save your money.,negative
"Since this is a completely natural supplement, this helped me maintain my active lifestyle, especially during my daily routine. It is already given that this can assist you in losing weight and to maximize the capacity of the product, better pair it with the right exercises too. Just a friendly reminder, despite its positive effects and safe ingredients, always make sure never to take this on an empty stomach for further health assurance.",positive
"As I was gluing paper art onto a mirror, ut was important ti me that the glue bit show. It does.",neutral
I love this oil and have purchased elsewhere before however this bottle had barely to no scent at all . Very dissapointed,negative
Great shirt to be paired with slacks for work or jeans on the weekend. My pregnant daughter loves it.,positive
The book gives a general overview but doesn't really show any effective strategies. Great starter guide for newbies to Pinterest.,neutral
Nice lightweight rain defender jacket. No complaints here.,positive
Our napkins are intertwined and it's just the wrong one for us.,neutral
"I'm still trying to remember why I liked Age of Myth, the first novel in this series. Whatever that was, it wasn't really present in the sequel. Though some of the characters are engaging and the overall story line is interesting enough, this book takes a few leaps that seemed forced in order to level the playing field between two races. A society going from the stone age to the copper age to the iron age (and discovering many of the technological and cultural advancements that come with those transitions) in a matter of weeks thanks to recurring epiphanies by two or three characters... well, let's just say it's all a bit rushed and bordering on repeated examples of deus ex machina (a phrase I've never used before, but which seems entirely appropriate in this case). Sadly, this book--which the author admitted is his favorite in the series--has me questioning whether to continue to Book Three.",neutral
I'm returning this item $50 plus $24 for limited monitoring and gps tracking a month. Battery fully charged died within 5 hours. Not the best. Plus I'm out the $24 SIM for the month,negative
I was expecting better noise isolation,neutral
It sucks! Not compatible with my device!,negative
The reviews stated this dress ran a bit small so I order 2 sizes larger than I normally wear. It barely fit over my hips and was even tinier on the waist and bust. The tag in the dress stated it was 2 sizes smaller than what I ordered! Beautiful lace fabric and sturdy construction though.,neutral
"This blindfold is incredibly soft and comfortable while keeping me in the dark!! I took it to Sweden when the sun shone very brightly though the skylights at 4 am. This worked like a charm. At home, if I accidentally wake up before sunlight, I simply cover my eyes with this and can get a few more hours of sleep.",positive
Did NOT expect it to be ther size of a barbie clock. I couldn't stop laughing when I opened the box.,neutral
I ordered the battery charger but got just a battery instead. Please I would like to replace the battery for the battery charger! Please let me know what I should do to return the battery.,negative
No instructions. But we figured it out,neutral
Helps my dog stay active.,positive
"Great price, plush fabric, very comfortable.",positive
I got this for my 81 year old mother very easy to use. She has no trouble with it.,positive
Amazing quality and beautiful colors. Very pleased with these and will order again!,positive
Both pump tops where broken when delivered.,negative
"Easy install, brighter than you would think. Good overall quality.",positive
You HAVE to wash your hands after. They get your hands really gross and sticky otherwise,neutral
"I was hoping the 2 Meters cable wasn't too fragile, I bought the pack and only was using on the bed for charging. In few months the cable was already broken. Very bad quality =(.",negative
"AWFUL! DO NOT BUY! Fell apart in my hands the second time I used it, now my hands are full of bamboo splinters and cuts from the tiny inadequate staples used to barely hold this tray together.",negative
"This cover does not fit with another Otter Box Alpha glass. I tried two glasses already, broke the fist one. There is a different cover if you want to use with alpha glass. You have to use this cover without any glass protector. You can probably only put those thin plastic protectors, but not the glass.",neutral
Perfect for the occasion!,positive
"Great book. In excellent condition for a ""used"" book. I would order again from this seller.",positive
I love this stuff for our little boys with allergies. Its the same price as local stores and double the amount of liquid medicine/ No brainer to buy it from here from now on.,positive
"Product worked 3 months. Starts and cuts out. Told it should be under warranty by Hayward. Purchased through Amazon Services. Amazon Services can not be contacted and we are referred to Hayward. Horrible customer service and Hayward is even worse. So far it's been about a week, hung up on 5 times. About 6 hours of hold time. Received a generic email. In Ground Pool turning into a Mosquito Health Issue. Worst support I have ever experienced would not recommend or ever purchase again. In all my years with Amazon, I never would have thought that they wouldn't be part of the solution. Run fast and run far.",negative
Watched bits of this movie years ago. Looked good so I bought to watch in its entirety.,positive
"Perfect for keys and larger items. It can be heard from far away, even in a toy storage bin within the toy cabinet! Not at all cumbersome for keys that are often deep in the bottom of the bag or carried throughout the house by our toddler. Like that it comes with adhesive or key ring to attach each tracker and only one remote to use for 4 different trackers so you don’t have to decide which is the most important item to track for the same price as one or two trackers",positive
Gosling is horrible stick with the 1st Blade Runner very disappointing heard great things about the visuals but didn't do it for me,negative
did not receive as promised. such a simple tool why is this so complicated,negative
Best ab wheel i’ve ever owned.,positive
It did shrink in the washer dryer. So wash in cold and line dry it. Otherwise I love this sweater!!!!,positive
They were perfect for a sea theme party. They arrived in perfect condition. Thanks.,positive
This is the accessory that I have been waiting for. This is practically invaluable when you are on a backpacking hunt or in the field for extended times. This gives you enough gun oil for a couple weeks in the worst conditions. I can stick batteries anywhere. But finding a place for gun oil where it won’t leak or get crushed is much harder.,positive
Don’t buy this if you expect it to ship/be delivered on time. Purchased twice. Both times a day late. Product is just fine. Just disappointed it was advertised for prime 2 day shipping if they can’t deliver.,neutral
Hurt my neck and under arms,negative
The seat cushions are too thin and not comfortable.,neutral
A great buy except for the tail kind of goes in your butt when you lay down lol,positive
Love this story. Stefano is such a alpha man and Francesca is beautiful and funny! Hope there are a lot more stories about this family of brothers and sister.,positive
"does not have a water control, so there is only one setting for the water.",neutral
"Super sexy and super comfy. Packaged nicely upon arrival, and arrived on time! :) Would highly recommend.",positive
Way too big! Much bigger than expected. Had to buy my son in law a different one because this was way to big for bringing to work,neutral
"If you like being fustrated, while underwater, this is for you. Turing this light on and off, even on dry land, is a pain in the rear. Doing it underwater is like a Houdini escape.",negative
Waste of money. These are not microwaveable. The lids are very difficult to put on! They barely fit.,negative
Within a week of having this bench in the shower it has mildew all over it. The sellers claim it can be used in water - yet obviously it cannot!,negative
"Was relatively happy with the bulbs and the company. Until a few weeks ago, I would have rated them a 4 star. Although, I've had issues with a few of the bulbs - flickering or going dead after a few months. Which I can understand and live with as long as I can easily get replacements. Customer Service was eager to help but they seem to have issues with receiving and responding to the information requested in email. I have sent 5 emails with the same information to them, which they each claim to have not received and ask me to resend. This is email - it is pretty reliable. I am not receiving any email send failures/errors so something is obviously broken with their process or system. I'd like to stay with Hyperikon for consistency of look and light as I've already invested hundreds of dollars in their bulbs but between the issues with the quality of the bulbs and the frustrating experience with customer service, I will need to look at an alternative - maybe the Sunlite, they get a 5 Star rating.",negative
"I like the work book, but the spelling section is very small and only 1 page per word list. Its also very spread out. Meaning its just random math, grammar, ect . I use it to supplement but not by itself. its very colorful and upbeat ! My boys really like it.",neutral
To help with bladder infection,positive
The bands didn’t feel like they resisted enough for my workouts. They felt very stretched out.,negative
I used these tablecloths on the floor for a photo prop with a Moana boat we made for a birthday party. It looked awesome but was such thin material it didn't hold up well at all. Not sure I'd pay this kind of money for three plastic tablecloths again.,neutral
Does the job and appears to be sturdy. Most of the fittings leak which means you are going to get more wet than you planned but so far it is the best brush I have found that has a long adjustable length,neutral
Great product. Very useful. I ordered as advertised on photo long extended arm...they shipped me the short arm. Otherwise worth the purchase,neutral
Some balloons had small holes,negative
